Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,220,22009,3Year,2,N1,N1,B73XMo17,NREC01,2021MOB:1548-53,3069,5,15,1,22009
2023_Rotational Plots,2023,220,22010,3Year,2,N1,N1,PH5141,CHECK7,Prairie Hyb,3070,5,19,1,22010
2023_Rotational Plots,2023,220,22011,3Year,2,N1,N1,Z031E0047xPH207,NREC12,2021MOB:1636-41,3075,6,3,1,22011
2023_Rotational Plots,2023,220,22012,3Year,2,N1,N1,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3074,6,7,1,22012
2023_Rotational Plots,2023,220,22013,3Year,2,N1,N1,B73xPHG47,NREC02,2021MOB:1556-61,3073,6,11,1,22013
2023_Rotational Plots,2023,220,22014,3Year,2,N1,N1,Z031E0047xMo17,NREC09,2021MOB:1612-17,3072,6,15,1,22014
2023_Rotational Plots,2023,220,22015,3Year,2,N1,N1,B73xPH207,NREC04,2021MOB:1572-77,3071,6,19,1,22015
2023_Rotational Plots,2023,221,22101,3Year,2,N3,N3,B73xPHZ51,NREC03,2021MOB:1564-69,3076,7,3,1,22101
2023_Rotational Plots,2023,221,22102,3Year,2,N3,N3,Z031E0021xPH207,NREC08,2021MOB:1604-09,3077,7,7,1,22102
2023_Rotational Plots,2023,221,22103,3Year,2,N3,N3,B73xPH207,NREC04,2021MOB:1572-77,3078,7,11,1,22103
2023_Rotational Plots,2023,221,22104,3Year,2,N3,N3,Z031E0047xPH207,NREC12,2021MOB:1636-41,3079,7,15,1,22104
2023_Rotational Plots,2023,221,22105,3Year,2,N3,N3,Z031E0047xMo17,NREC09,2021MOB:1612-17,3080,7,19,1,22105
2023_Rotational Plots,2023,221,22106,3Year,2,N3,N3,B73XMo17,NREC01,2021MOB:1548-53,3085,8,3,1,22106
2023_Rotational Plots,2023,221,22107,3Year,2,N3,N3,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3084,8,7,1,22107
2023_Rotational Plots,2023,221,22108,3Year,2,N3,N3,Z031E0021xPHZ51,NREC07,2021MOB:1596,3083,8,11,1,22108
2023_Rotational Plots,2023,221,22109,3Year,2,N3,N3,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3082,8,15,1,22109
2023_Rotational Plots,2023,221,22110,3Year,2,N3,N3,B73xPHG47,NREC02,2021MOB:1556-61,3081,8,19,1,22110
